,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
200,Kingsburg,36.513888888888886,-119.55388888888889,92.0,302.0,11382,2.8280000000000003,2.8280000000000003,0.0,7.325,7.325,0.0,0.0
201,LaCaadaFlintridge,34.207721,-118.206979,,,20246,8.645,8.628,0.017,22.391,22.346999999999998,0.044000000000000004,0.2
202,Lafayette,37.88583333333333,-122.11805555555554,97.5,320.0,24285,15.387,15.220999999999998,0.166,39.853,39.422,0.431,1.08
203,LagunaBeach,33.53138888888889,-117.76916666666666,6.0,20.0,22723,9.821,8.85,0.971,25.435,22.921,2.515,9.89
204,LagunaHills,33.599722222222226,-117.69944444444445,113.0,371.0,30344,6.695,6.67,0.025,17.34,17.276,0.064,0.37
205,LagunaNiguel,33.53194444444444,-117.7025,121.0,397.0,62979,14.885,14.833,0.052000000000000005,38.551,38.418,0.134,0.35
206,LagunaWoods,33.60916666666667,-117.73277777777778,116.0,381.0,18747,3.115,3.115,0.0,8.07,8.068999999999999,0.0,0.01
207,LaHabra,33.93194444444444,-117.94611111111111,91.0,299.0,60239,7.376,7.37,0.006,19.104,19.088,0.016,0.08
208,LaHabraHeights,33.96388888888889,-117.95277777777778,225.0,738.0,5325,6.162000000000001,6.159,0.003,15.958,15.95,0.006999999999999999,0.05
209,LakeElsinore,33.68138888888889,-117.34527777777777,395.0,1306.0,51821,41.687,36.208,5.479,107.97,93.779,14.19,13.14
210,LakeForest,33.641666666666666,-117.69083333333333,148.0,400.0,77264,17.902,17.816,0.086,46.36600000000001,46.143,0.223,0.48
211,Lakeport,39.043055555555554,-122.91583333333334,413.0,1355.0,4753,3.198,3.0580000000000003,0.14,8.283999999999999,7.92,0.364,4.39
212,Lakewood,33.847500000000004,-118.11999999999999,14.0,46.0,80048,9.466000000000001,9.415,0.051,24.517,24.384,0.133,0.54
213,LaMesa,32.771388888888886,-117.02277777777778,161.0,528.0,57065,9.116,9.076,0.04,23.612,23.506999999999998,0.10400000000000001,0.44
214,LaMirada,33.90222222222222,-118.00972222222222,59.0,194.0,48527,7.857,7.84,0.017,20.351,20.305999999999997,0.045,0.22
215,Lancaster,34.68333333333333,-118.15,719.0,2359.0,156633,94.54700000000001,94.27600000000001,0.271,244.87599999999998,244.175,0.701,0.29
216,LaPalma,33.849444444444444,-118.04388888888889,14.0,46.0,15568,1.8319999999999999,1.808,0.024,4.744,4.6819999999999995,0.063,1.32
217,LaPuente,34.0325,-117.95527777777778,107.0,351.0,39816,3.48,3.4789999999999996,0.001,9.012,9.01,0.002,0.02
218,LaQuinta,33.67527777777777,-116.2975,0.0,,37467,35.551,35.117,0.434,92.07799999999999,90.954,1.124,1.22
219,Larkspur,37.93416666666666,-122.53527777777778,,43.0,11926,3.2430000000000003,3.0269999999999997,0.21600000000000003,8.399,7.84,0.56,6.66
220,Lathrop,37.816944444444445,-121.28861111111111,7.0,20.0,18023,23.033,21.930999999999997,1.102,59.655,56.8,2.8539999999999996,4.79
221,LaVerne,34.114444444444445,-117.7713888888889,323.0,1060.0,31063,8.562000000000001,8.43,0.132,22.175,21.834,0.341,1.54
222,Lawndale,33.88666666666666,-118.3536111111111,18.0,59.0,32769,1.974,1.974,0.0,5.113,5.113,0.0,0.0
223,LemonGrove,32.74138888888889,-117.03166666666667,136.0,440.0,25320,3.88,3.88,0.0,10.05,10.05,0.0,0.0
224,Lemoore,36.30083333333333,-119.78277777777778,70.0,230.0,25281,8.517000000000001,8.517000000000001,0.0,22.058000000000003,22.058000000000003,0.0,0.0
225,Lincoln,38.88722222222222,-121.2961111111111,51.0,167.0,42819,20.13,20.105999999999998,0.024,52.137,52.075,0.062,0.12
226,Lindsay,36.2,-119.08333333333333,118.0,387.0,11768,2.61,2.61,0.0,6.7589999999999995,6.7589999999999995,0.0,0.0
227,LiveOakSutterCounty,39.27583333333333,-121.66000000000001,,79.0,8392,1.869,1.869,0.0,4.8389999999999995,4.8389999999999995,0.0,0.0
228,Livermore,37.68194444444444,-121.76805555555555,,495.0,83547,25.176,25.173000000000002,0.003,65.204,65.19800000000001,0.006999999999999999,0.01
229,Livingston,37.386944444444445,-120.72361111111111,40.0,131.0,13058,3.715,3.715,0.0,9.622,9.622,0.0,0.0
230,Lodi,38.12888888888889,-121.28083333333333,15.0,50.0,62134,13.825,13.610999999999999,0.214,35.805,35.251999999999995,0.5529999999999999,1.54
231,LomaLinda,34.04833333333333,-117.25055555555555,355.0,1165.0,23261,7.517,7.516,0.001,19.47,19.467,0.002,0.01
232,Lomita,33.79333333333333,-118.31611111111111,29.0,95.0,20256,1.911,1.911,0.0,4.949,4.949,0.0,0.0
233,Lompoc,34.64611111111111,-120.46027777777778,32.0,105.0,42434,11.675,11.597000000000001,0.078,30.237,30.037,0.201,0.66
234,LongBeach,33.76833333333333,-118.19555555555556,,0.0,462257,51.437,50.293,1.1440000000000001,133.22299999999998,130.259,2.964,2.22
235,Loomis,38.81638888888889,-121.19277777777778,123.0,404.0,6430,7.267,7.267,0.0,18.822,18.822,0.0,0.0
236,LosAlamitos,33.80222222222222,-118.06444444444445,7.0,23.0,11449,4.1160000000000005,4.05,0.066,10.659,10.489,0.17,1.6
237,LosAltos,37.36805555555556,-122.0975,,157.0,28976,6.487,6.487,0.0,,,,
238,LosAltosHills,37.37138888888889,-122.1375,89.0,292.0,7922,8.802,8.802,0.0,22.796999999999997,22.796999999999997,0.0,0.0
239,LosAngeles,34.05,-118.25,71.0,2.0,3884307,503.0,469.0,34.0,1302.0,1214.0,88.0,6.7
240,LosBanos,37.05833333333333,-120.85,36.0,118.0,35972,10.117,9.993,0.124,26.203000000000003,25.881999999999998,0.321,1.22
241,LosGatos,37.236111111111114,-121.96166666666667,105.0,344.0,29413,11.16,11.08,0.08,28.903000000000002,28.697,0.20600000000000002,0.71
242,Loyalton,39.67666666666666,-120.24305555555556,1509.0,4951.0,769,0.355,0.355,0.0,0.9209999999999999,0.9209999999999999,0.0,0.0
243,Lynwood,33.92472222222222,-118.20194444444445,28.0,92.0,69772,4.84,4.84,0.0,12.536,12.536,0.0,0.0
244,Madera,36.96138888888889,-120.06083333333333,83.0,271.0,61416,15.789000000000001,15.789000000000001,0.0,40.894,40.894,0.0,0.0
245,Malibu,34.03,-118.75,32.0,105.0,12645,19.828,19.785,0.043,51.354,51.242,0.113,0.22
246,MammothLakes,37.64861111111111,-118.97194444444445,2402.0,7880.0,8234,25.305999999999997,24.866,0.44,65.541,64.402,1.139,1.74
247,ManhattanBeach,33.888888888888886,-118.40527777777778,20.0,67.0,35135,3.9410000000000003,3.937,0.004,10.208,10.197000000000001,0.01,0.1
248,Manteca,37.80277777777778,-121.22083333333333,11.0,38.0,71067,17.757,17.733,0.024,45.99100000000001,45.928999999999995,0.062,0.13
249,Maricopa,35.05888888888889,-119.40083333333334,269.0,883.0,1154,1.5019999999999998,1.5019999999999998,0.0,3.89,3.89,0.0,0.0
250,Marina,36.68444444444444,-121.80222222222221,13.0,43.0,29718,9.763,8.883,0.88,25.287,23.006999999999998,2.28,9.02
251,Martinez,38.019444444444446,-122.13416666666667,7.0,23.0,35824,13.135,12.130999999999998,1.004,34.019,31.42,2.6,7.64
252,Marysville,39.15,-121.58333333333333,19.0,62.0,12072,3.585,3.464,0.121,9.283999999999999,8.971,0.312,3.36
253,Maywood,33.98777777777778,-118.18666666666667,46.0,151.0,27395,1.178,1.178,0.0,3.052,3.052,0.0,0.0
254,McFarland,35.67805555555555,-119.22916666666667,108.0,354.0,13745,2.668,2.668,0.0,6.91,6.91,0.0,0.0
255,Mendota,36.75361111111111,-120.38166666666666,53.0,174.0,11014,3.281,3.278,0.003,8.499,8.491,0.008,0.1
256,Menifee,33.67833333333333,-117.16694444444445,434.0,1424.0,77519,46.607,46.466,0.141,120.711,120.345,0.365,0.3
257,MenloPark,37.45277777777778,-122.18333333333334,22.0,72.0,32026,17.415,9.79,7.625,45.105,25.355,19.75,43.79
258,Merced,37.3,-120.48333333333333,52.0,171.0,80793,23.316,23.316,0.0,60.388999999999996,60.388999999999996,0.0,0.0
259,Millbrae,37.600833333333334,-122.40138888888889,,33.0,21536,3.259,3.247,0.012,8.439,8.408999999999999,0.03,0.36
260,MillValley,37.90611111111111,-122.545,,79.0,13903,4.8469999999999995,4.763,0.084,12.555,12.335999999999999,0.21899999999999997,1.74
261,Milpitas,37.43472222222222,-121.89500000000001,5.0,16.0,70092,13.640999999999998,13.591,0.05,35.328,35.2,0.128,0.36
262,MissionViejo,33.61277777777778,-117.65611111111112,121.0,448.0,96346,18.123,17.739,0.384,46.93899999999999,45.943999999999996,0.995,2.12
263,Modesto,37.66138888888889,-120.99444444444444,27.0,89.0,201165,37.092,36.867,0.225,96.069,95.486,0.583,0.61
264,Monrovia,34.14416666666666,-118.00194444444445,174.0,571.0,36590,13.714,13.605,0.109,35.519,35.236999999999995,0.282,0.79
265,Montague,41.727222222222224,-122.52638888888889,774.0,2539.0,1443,1.7930000000000001,1.778,0.015,4.644,4.605,0.039,0.85
266,Montclair,34.07083333333334,-117.6975,326.0,1066.0,36664,5.517,5.517,0.0,14.289000000000001,14.289000000000001,0.0,0.0
267,Montebello,34.01444444444444,-118.11444444444444,61.0,200.0,62500,8.373,8.333,0.04,21.685,21.581,0.10400000000000001,0.48
268,Monterey,36.6,-121.9,8.0,26.0,27810,11.764000000000001,8.466000000000001,3.298,30.469,21.927,8.542,28.03
269,MontereyPark,34.049166666666665,-118.13555555555556,117.0,384.0,60269,7.733,7.672000000000001,0.061,20.029,19.87,0.158,0.79
270,MonteSereno,37.238055555555555,-121.98944444444444,,515.0,3341,1.615,1.615,0.0,4.184,4.184,0.0,0.0
271,Moorpark,34.280833333333334,-118.87333333333332,157.0,515.0,34421,12.799000000000001,12.579,0.22,33.149,32.58,0.569,1.72
272,Moraga,37.835,-122.12972222222221,,,16016,9.442,9.433,0.009000000000000001,24.455,24.432,0.023,0.09
273,MorenoValley,33.94305555555555,-117.22833333333334,497.0,1631.0,193365,51.475,51.275,0.2,133.319,132.8,0.519,0.39
274,MorganHill,37.13055555555555,-121.65444444444445,107.0,350.0,37882,12.882,12.882,0.0,33.363,33.363,0.0,0.0
275,MorroBay,35.37916666666667,-120.85333333333332,19.0,62.0,10234,10.322000000000001,5.303,5.019,26.734,13.734000000000002,13.0,48.63
276,MountainView,37.38944444444444,-122.08194444444445,32.0,105.0,74066,12.273,11.995,0.278,31.788,31.068,0.72,2.26
277,MountShasta,41.31444444444444,-122.31138888888889,1099.0,3606.0,3394,3.77,3.766,0.004,9.764,9.754,0.01,0.1
278,Murrieta,33.56944444444445,-117.2025,334.0,1096.0,103466,33.613,33.577,0.036000000000000004,87.05799999999999,86.964,0.094,0.11
279,Napa,38.30472222222222,-122.29888888888888,,20.0,76915,18.147000000000002,17.839000000000002,0.308,47.0,46.203,0.797,1.69
280,NationalCity,32.67805555555555,-117.09916666666666,21.0,69.0,58582,9.116,7.277,1.839,23.609,18.847,4.762,20.17
281,Needles,34.83833333333334,-114.6111111111111,151.0,495.0,4844,31.275,30.808000000000003,0.467,81.002,79.793,1.209,1.49
282,NevadaCity,39.26138888888889,-121.01861111111111,755.0,2477.0,3068,2.1919999999999997,2.188,0.004,5.6770000000000005,5.667000000000001,0.01,0.17
283,Newark,37.53333333333333,-122.03333333333333,,20.0,43539,13.898,13.875,0.023,35.996,35.936,0.061,0.17
284,Newman,37.315,-121.0225,27.0,89.0,10224,2.102,2.102,0.0,5.444,5.444,0.0,0.0
285,NewportBeach,33.61666666666667,-117.89750000000001,3.0,,85186,52.978,23.805,29.173000000000002,137.211,61.653999999999996,75.557,55.07
286,Norco,33.93111111111111,-117.54861111111111,195.0,640.0,27063,14.277999999999999,13.962,0.316,36.98,36.161,0.8190000000000001,2.22
287,Norwalk,33.90694444444444,-118.08333333333333,28.0,92.0,105549,9.746,9.707,0.039,25.243000000000002,25.141,0.102,0.4
288,Novato,38.1075,-122.56972222222223,9.0,30.0,51904,27.956999999999997,27.44,0.517,72.407,71.068,1.339,1.85
289,Oakdale,37.76916666666666,-120.85694444444444,48.0,157.0,20675,6.095,6.045,0.05,15.784,15.655,0.129,0.81
290,Oakland,37.80444444444444,-122.27083333333333,,43.0,406253,78.002,55.786,22.215999999999998,202.024,144.485,57.54,28.48
291,Oakley,37.9975,-121.7125,6.0,20.0,35432,16.155,15.853,0.302,41.842,41.059,0.7829999999999999,1.87
292,Oceanside,33.211666666666666,-117.32583333333334,20.0,66.0,183095,42.174,41.235,0.9390000000000001,109.23100000000001,106.79799999999999,2.4330000000000003,2.23
293,Ojai,34.44916666666666,-119.24666666666667,227.0,745.0,7461,4.401,4.386,0.015,11.398,11.359000000000002,0.04,0.35
294,Ontario,34.05277777777778,-117.62777777777777,282.0,925.0,163924,50.006,49.941,0.065,129.515,129.345,0.17,0.13
295,Orange,33.80305555555555,-117.8325,59.0,195.0,136416,25.24,24.796999999999997,0.44299999999999995,65.37100000000001,64.22399999999999,1.147,1.75
296,OrangeCove,36.62444444444444,-119.31361111111111,129.0,423.0,9078,1.912,1.912,0.0,4.9510000000000005,4.9510000000000005,0.0,0.0
297,Orinda,37.882777777777775,-122.17972222222222,151.0,495.0,18342,12.698,12.683,0.015,32.887,32.848,0.039,0.12
298,Orland,39.7475,-122.19638888888889,79.0,259.0,7291,2.971,2.971,0.0,7.696000000000001,7.696000000000001,0.0,0.0
299,Oroville,39.516666666666666,-121.55,51.0,167.0,15506,13.011,12.993,0.018000000000000002,33.701,33.653,0.048,0.14
300,Oxnard,34.19138888888889,-119.1825,16.0,52.0,203585,39.208,26.894000000000002,12.314,101.54799999999999,69.656,31.893,31.41
301,Pacifica,37.62277777777778,-122.48555555555555,25.0,82.0,37234,12.66,12.658,0.002,32.789,32.784,0.005,0.01
302,PacificGrove,36.617777777777775,-121.91666666666667,46.0,151.0,15295,4.003,2.865,1.138,10.366,7.419,2.946,28.42
303,Palmdale,34.58111111111111,-118.10055555555554,810.0,2657.0,152750,106.21600000000001,105.961,0.255,275.099,274.439,0.66,0.24
304,PalmDesert,33.72555555555556,-116.36944444444444,67.0,220.0,48445,27.014,26.81,0.204,69.96600000000001,69.437,0.529,0.76
305,PalmSprings,33.823888888888895,-116.53027777777778,146.0,440.0,44552,94.975,94.116,0.8590000000000001,245.984,243.761,2.224,0.9
306,PaloAlto,37.42916666666667,-122.13805555555557,9.0,30.0,64403,25.787,23.884,1.903,66.78699999999999,61.858000000000004,4.928999999999999,7.38
307,PalosVerdesEstates,33.786944444444444,-118.39666666666668,64.0,210.0,13438,4.774,4.774,0.0,12.365,12.364,0.001,0.01
308,Paradise,39.75972222222222,-121.62138888888889,542.0,1778.0,26249,18.322,18.308,0.013999999999999999,47.455,47.418,0.037000000000000005,0.08
309,Paramount,33.9,-118.16666666666667,21.0,69.0,54098,4.84,4.729,0.111,12.536,12.249,0.28600000000000003,2.28
310,Parlier,36.611666666666665,-119.52694444444444,105.0,344.0,14494,2.194,2.194,0.0,5.682,5.682,0.0,0.0
311,Pasadena,34.15611111111111,-118.13194444444444,263.0,863.0,137122,23.128,22.97,0.158,59.902,59.493,0.409,0.68
312,PasoRobles,35.64083333333333,-120.6538888888889,242.0,,29792,19.425,19.12,0.305,50.312,49.522,0.79,1.57
313,Patterson,37.473055555555554,-121.13277777777778,31.0,102.0,20413,5.954,5.954,0.0,15.421,15.421,0.0,0.0
314,Perris,33.79666666666667,-117.22444444444444,443.0,1453.0,71326,31.503,31.393,0.11,81.594,81.308,0.28600000000000003,0.35
315,Petaluma,38.24583333333334,-122.63138888888888,9.0,30.0,58921,14.489,14.382,0.107,37.527,37.249,0.278,0.74
316,PicoRivera,33.98888888888889,-118.08916666666666,50.0,164.0,62942,8.882,8.296,0.586,23.003,21.485,1.518,6.6
317,Piedmont,37.81666666666667,-122.23333333333333,,331.0,10667,1.6780000000000002,1.6780000000000002,0.0,4.345,4.345,0.0,0.0
318,Pinole,38.004444444444445,-122.2911111111111,31.0,23.0,18390,13.575,5.3229999999999995,8.252,35.16,13.787,21.372,60.79
319,PismoBeach,35.14833333333333,-120.64805555555556,17.0,56.0,7655,13.475999999999999,3.5989999999999998,9.877,34.904,9.322000000000001,25.581999999999997,73.29
320,Pittsburg,38.028055555555554,-121.88472222222222,8.0,26.0,63264,19.154,17.218,1.936,49.61,44.595,5.015,10.11
321,Placentia,33.8825,-117.85499999999999,83.0,272.0,50533,6.582000000000001,6.568,0.013999999999999999,17.048,17.011,0.037000000000000005,0.22
322,Placerville,38.72972222222222,-120.79861111111111,,1867.0,10389,5.813,5.812,0.001,15.054,15.052,0.002,0.01
323,PleasantHill,37.948055555555555,-122.0525,16.0,52.0,33152,7.072,7.072,0.0,18.315,18.315,0.0,0.0
324,Pleasanton,37.6625,-121.87472222222222,,351.0,70285,24.266,24.113000000000003,0.153,62.847,62.452,0.395,0.63
325,Plymouth,38.481944444444444,-120.84472222222222,330.0,1083.0,1005,0.9440000000000001,0.9309999999999999,0.013000000000000001,2.444,2.411,0.033,1.34
326,PointArena,38.90888888888889,-123.69305555555556,36.0,118.0,449,1.35,1.35,0.0,3.4960000000000004,3.4960000000000004,0.0,0.0
327,Pomona,34.06083333333333,-117.75583333333333,259.0,850.0,1,22.964000000000002,22.951999999999998,0.012,59.474,59.443999999999996,0.03,0.05
328,Porterville,36.06861111111112,-119.0275,139.0,459.0,55697,17.679000000000002,17.607,0.07200000000000001,45.79,45.603,0.188,0.41
329,PortHueneme,34.16027777777778,-119.19444444444444,4.0,12.0,21723,4.671,4.4510000000000005,0.22,12.095999999999998,11.527999999999999,0.569,4.7
330,Portola,39.81027777777778,-120.46972222222223,1480.0,4856.0,2104,5.407,5.407,0.0,14.003,14.003,0.0,0.0
331,PortolaValley,37.375,-122.21861111111112,140.0,459.0,4353,9.093,9.092,0.001,23.551,23.546999999999997,0.004,0.02
332,Poway,32.97,-117.03861111111111,157.0,515.0,47811,39.165,39.079,0.086,101.43799999999999,101.214,0.223,0.22
333,RanchoCordova,38.58916666666667,-121.30277777777778,27.0,89.0,64776,33.874,33.507,0.36700000000000005,87.73299999999999,86.78200000000001,0.951,1.08
334,RanchoCucamonga,34.123333333333335,-117.57944444444443,368.0,1207.0,170746,39.871,39.851,0.02,103.26299999999999,103.212,0.051,0.05
335,RanchoMirage,33.76916666666666,-116.42111111111112,83.0,272.0,17218,,24.447,0.389,64.32600000000001,63.318000000000005,1.008,1.57
336,RanchoPalosVerdes,33.75833333333333,-118.36416666666666,67.0,220.0,41643,13.465,13.465,0.0,34.875,34.874,0.001,0.0
337,RanchoSantaMargarita,33.64138888888889,-117.59444444444443,290.0,775.0,47853,12.992,12.957,0.035,33.650999999999996,33.56,0.091,0.27
338,RedBluff,40.17666666666666,-122.23805555555556,93.0,305.0,24674,7.6770000000000005,7.563,0.114,19.882,19.587,0.295,1.48
339,Redding,40.583333333333336,-122.36666666666666,151.0,495.0,92328,61.175,59.647,1.528,158.442,154.485,3.957,2.5
340,Redlands,34.05472222222222,-117.1825,414.0,1358.0,68747,36.427,36.126,0.301,94.344,93.565,0.779,0.83
341,RedondoBeach,33.85638888888889,-118.37694444444443,,62.0,66748,6.207999999999999,6.1979999999999995,0.01,16.08,16.054000000000002,0.026000000000000002,0.16
342,RedwoodCity,37.48277777777778,-122.23611111111111,6.0,20.0,76815,34.625,19.42,15.205,89.677,50.297,39.38,43.91
343,Reedley,36.59638888888889,-119.45027777777779,106.0,348.0,24194,5.156000000000001,5.084,0.07200000000000001,13.352,13.165999999999999,0.185,1.39
344,Rialto,34.11138888888889,-117.3825,383.0,1257.0,101740,22.365,22.351,0.013999999999999999,57.926,57.888999999999996,0.037000000000000005,0.06
345,Richmond,37.93583333333333,-122.34777777777778,14.0,46.0,103701,52.48,30.068,22.412,135.923,77.875,58.048,42.71
346,Ridgecrest,35.6225,-117.67083333333333,698.0,2290.0,27616,21.416999999999998,20.766,0.6509999999999999,55.468999999999994,53.783,1.685,3.04
347,RioDell,40.49916666666667,-124.10638888888889,49.0,161.0,3363,2.418,2.282,0.136,6.261,5.91,0.35100000000000003,5.61
348,RioVista,38.163888888888884,-121.69583333333334,6.0,20.0,7360,7.093999999999999,6.691,0.40299999999999997,18.375,17.33,1.044,5.68
349,Ripon,37.74055555555556,-121.12833333333333,21.0,69.0,14297,5.495,5.305,0.19,14.232000000000001,13.739,0.493,3.47
350,Riverbank,37.731388888888894,-120.94361111111111,43.0,141.0,22678,4.1160000000000005,4.092,0.024,10.661,10.599,0.062,0.59
351,Riverside,33.948055555555555,-117.39611111111111,262.0,860.0,313673,81.444,81.14,0.304,210.94099999999997,210.15200000000002,0.7879999999999999,0.37
352,Rocklin,38.8,-121.24666666666667,79.0,249.0,56974,19.594,19.541,0.053,50.748999999999995,50.61,0.139,0.27
353,RohnertPark,38.34722222222222,-122.69527777777778,32.0,105.0,40971,7.007999999999999,7.002999999999999,0.005,18.149,18.136,0.013000000000000001,0.07
354,RollingHills,33.75944444444445,-118.34166666666667,389.0,1276.0,1860,2.991,2.991,0.0,7.746,7.746,0.0,0.0
355,RollingHillsEstates,33.77361111111111,-118.36083333333333,143.0,469.0,8067,3.613,3.569,0.044000000000000004,9.359,9.244,0.115,1.22
356,Rosemead,34.06666666666667,-118.08333333333333,97.0,318.0,53764,5.176,5.162000000000001,0.013999999999999999,13.405999999999999,13.37,0.035,0.26
357,Roseville,38.7525,-121.28944444444444,50.0,164.0,127323,36.223,36.222,0.001,93.81700000000001,93.814,0.003,0.0
358,Ross,37.962500000000006,-122.55499999999999,11.0,36.0,2415,1.556,1.556,0.0,4.031000000000001,4.031000000000001,0.0,0.0
359,Sacramento,38.55555555555555,-121.46888888888888,9.0,30.0,466488,100.105,97.915,2.19,259.27299999999997,253.6,5.672999999999999,2.19
360,Salinas,36.67777777777778,-121.65555555555557,16.0,52.0,163665,23.217,23.179000000000002,0.038,60.131,60.033,0.099,0.16
361,SanAnselmo,37.974722222222226,-122.56166666666667,14.0,46.0,12336,2.677,2.677,0.0,6.934,6.934,0.0,0.0
362,SanBernardino,34.1,-117.3,321.0,1974.0,209924,59.645,59.201,0.444,154.48,153.33,1.15,0.74
363,SanBruno,37.625277777777775,-122.42527777777778,5.0,16.0,41114,5.478,5.478,0.0,14.187999999999999,14.187999999999999,0.0,0.0
364,SanCarlos,37.49916666666667,-122.26333333333334,,33.0,28406,5.541,5.537999999999999,0.003,14.35,14.343,0.006999999999999999,0.05
365,SanClemente,33.437777777777775,-117.62027777777777,71.0,250.0,63522,19.468,18.711,0.757,50.422,48.461000000000006,1.9609999999999999,3.89
366,SandCity,36.617222222222225,-121.84833333333333,22.0,72.0,334,2.924,0.562,2.362,7.575,1.4569999999999999,6.119,80.77
367,SanDiego,32.715,-117.16250000000001,6.0,3.0,1345895,372.4,325.19,47.21,964.51,842.23,122.27,12.68
368,SanDimas,34.10277777777778,-117.81611111111111,,750.0,33371,15.427,15.037,0.39,39.957,38.946999999999996,1.01,2.53
369,SanFernando,34.28722222222222,-118.4388888888889,326.0,1070.0,23645,2.374,2.374,0.0,6.149,6.149,0.0,0.0
370,SanFrancisco,37.78333333333333,-122.41666666666667,,52.0,837442,231.89,46.87,185.02,,,,80.0
371,SanGabriel,34.094166666666666,-118.09833333333333,128.0,420.0,39718,4.146,4.145,0.001,10.735999999999999,10.734000000000002,0.002,0.02
372,Sanger,36.70805555555556,-119.55583333333333,,371.0,24270,5.524,5.524,0.0,14.307,14.307,0.0,0.0
373,SanJacinto,33.78722222222222,-116.96666666666667,477.0,1565.0,44199,26.131,25.715999999999998,0.415,67.679,66.605,1.074,1.59
374,SanJoaquin,36.60666666666667,-120.18916666666667,53.0,174.0,4001,1.148,1.148,0.0,2.9730000000000003,2.9730000000000003,0.0,0.0
375,SanJose,37.333333333333336,-121.9,26.0,,1000536,179.97,176.52599999999998,3.4389999999999996,466.10900000000004,457.20099999999996,8.908,1.91
376,SanJuanBautista,36.844166666666666,-121.53722222222223,66.0,217.0,1862,0.711,0.711,0.0,1.8430000000000002,1.8419999999999999,0.001,0.06
377,SanJuanCapistrano,33.49944444444444,-117.66166666666668,37.0,96.0,34593,14.295,14.115,0.18,37.024,36.559,0.466,1.26
378,SanLeandro,37.725,-122.15611111111112,15.0,56.0,86869,15.663,13.343,2.32,40.565,34.556999999999995,6.007999999999999,14.81
379,SanLuisObispo,35.274166666666666,-120.66305555555556,71.0,233.0,45119,12.93,12.777000000000001,0.153,33.489000000000004,33.093,0.396,1.18
380,SanMarcos,33.14194444444444,-117.17027777777778,,,83781,24.39,24.37,0.02,63.169,63.117,0.053,0.08
381,SanMarino,34.12277777777778,-118.11305555555555,172.0,564.0,13147,3.7739999999999996,3.767,0.006999999999999999,9.775,9.757,0.018000000000000002,0.18
382,SanMateo,37.55416666666667,-122.31305555555555,13.0,43.0,97207,15.884,12.13,3.7539999999999996,41.137,31.416,9.722000000000001,23.63
383,SanPablo,37.96222222222222,-122.34555555555555,16.0,52.0,29139,2.634,2.634,0.0,6.822,6.822,0.0,0.0
384,SanRafael,37.97361111111111,-122.53111111111112,13.0,43.0,57713,22.421999999999997,16.47,5.952000000000001,58.074,42.657,15.417,26.55
385,SanRamon,37.78,-121.97805555555556,146.0,480.0,73927,18.077,18.061,0.016,46.818999999999996,46.778,0.042,0.09
386,SantaAna,33.740833333333335,-117.88138888888888,35.0,115.0,324528,27.518,27.27,0.248,71.271,70.628,0.643,0.9
387,SantaBarbara,34.42583333333333,-119.71416666666667,15.0,49.0,90893,41.968,19.468,22.5,108.697,50.422,58.275,53.61
388,SantaClara,37.35444444444445,-121.96916666666667,23.0,75.0,116468,18.407,18.407,0.0,47.675,47.675,0.0,0.0
389,SantaClarita,34.416666666666664,-118.50638888888889,368.0,1207.0,209130,62.16,62.1,0.06,160.993,160.825,0.168,0.099
390,SantaCruz,36.971944444444446,-122.02638888888889,11.0,36.0,62864,15.828,12.74,3.088,40.996,32.997,7.999,19.51
391,SantaFeSprings,33.9375,-118.06722222222221,41.0,135.0,16223,8.914,8.874,0.04,23.088,22.985,0.10300000000000001,0.45
392,SantaMaria,34.95138888888889,-120.43333333333334,67.0,220.0,101459,23.395,22.756,0.639,60.592,58.937,1.655,2.73
393,SantaMonica,34.02194444444444,-118.48138888888889,,105.0,89736,8.416,8.415,0.001,,,,
394,SantaPaula,34.35583333333334,-119.06833333333333,85.0,279.0,29321,4.707,4.593,0.114,12.189,11.895,0.294,2.41
395,SantaRosa,38.448611111111106,-122.70472222222223,50.0,164.0,170685,41.498999999999995,41.294,0.205,107.48100000000001,106.95,0.531,0.49
396,Santee,32.86972222222222,-116.97111111111111,105.0,345.0,53413,16.528,16.235,0.293,42.808,42.049,0.759,1.77
397,Saratoga,37.2725,-122.01944444444445,,410.0,29926,12.382,12.382,0.0,32.07,32.07,0.0,0.0
398,Sausalito,37.85916666666667,-122.48527777777778,4.0,13.0,7061,2.2569999999999997,1.771,0.486,5.846,4.586,1.2590000000000001,21.54
399,ScottsValley,37.05138888888889,-122.01333333333334,171.0,561.0,11580,4.595,4.595,0.0,11.9,11.9,0.0,0.0
400,SealBeach,33.759166666666665,-118.0825,4.0,13.0,24168,13.04,11.286,1.754,33.775,29.230999999999998,4.544,13.45
401,Seaside,36.611111111111114,-121.84472222222222,10.0,33.0,33025,9.376,9.237,0.139,24.281999999999996,23.923000000000002,0.359,1.48
402,Sebastopol,38.399166666666666,-122.82694444444444,25.0,82.0,7379,1.8530000000000002,1.8530000000000002,0.0,4.7989999999999995,4.7989999999999995,0.0,0.0
403,Selma,36.57083333333334,-119.61194444444443,94.0,308.0,23219,5.136,5.136,0.0,13.302999999999999,13.302999999999999,0.0,0.0
